StoLucka	Längd	InmDia
102.5	420.0	22.4
98.1	380.0	18.5
105.0	480.0	26.1
89.3	350.0	15.2
112.4	510.0	28.7
99.8	410.0	20.3
101.2	430.0	24.0
55.0	360.0	16.8
103.1	420.0	21.9
97.6	390.0	19.1
100.5	400.0	20.0
145.0	530.0	31.2
104.2	450.0	25.5
96.8	370.0	17.9
108.9	490.0	27.3
102.1	420.0	23.1
95.4	380.0	18.9
110.1	500.0	29.0
35.0	340.0	14.5
103.5	430.0	22.8
99.0	410.0	21.2
101.8	440.0	23.6
96.1	370.0	17.5
107.5	480.0	26.8
100.9	420.0	22.0
102.3	430.0	24.2
98.7	400.0	20.5
104.8	460.0	25.9
165.0	520.0	30.5
97.2	390.0	19.8
101.5	410.0	21.0
103.0	440.0	23.8
94.8	360.0	16.2
109.2	500.0	28.1
100.1	410.0	20.1
102.7	430.0	22.6
98.3	390.0	18.7
106.1	470.0	25.2
101.9	420.0	22.9
95.8	380.0	17.2
111.3	510.0	29.5
45.0	350.0	15.0
103.8	440.0	23.4
99.5	410.0	20.8
102.0	430.0	22.2
97.9	390.0	18.1
105.5	470.0	26.0
